ID,Holding time, Break times, Discount, Expect Fare, Middle Value, Output Discount, Output Fare, Correct
TC65,90,10,0.00%,38.50,13.5,0.00%,38.50,True
TC66,90,11,0.00%,38.50,13.5,0.00%,38.50,True
TC67,119,3,0.00%,42.85,17.85,0.00%,42.85,True
TC68,119,4,0.00%,42.85,17.85,0.00%,42.85,True
TC69,119,7,0.00%,42.85,17.85,0.00%,42.85,True
TC70,119,10,0.00%,42.85,17.85,0.00%,42.85,True
TC71,119,11,0.00%,42.85,17.85,0.00%,42.85,True
TC72,120,3,0.00%,43.00,18,0.00%,43.00,True
TC73,120,4,0.00%,43.00,18,0.00%,43.00,True
TC74,120,7,0.00%,43.00,18,0.00%,43.00,True
TC75,120,10,0.00%,43.00,18,0.00%,43.00,True
TC76,120,11,0.00%,43.00,18,0.00%,43.00,True
TC77,121,0,2.00%,42.79,17.79,2.00%,42.79,True
TC78,121,1,2.00%,42.79,17.79,2.00%,42.79,True
TC79,121,2,2.00%,42.79,17.79,2.00%,42.79,True
TC80,121,3,2.00%,42.79,17.79,2.00%,42.79,True
TC81,122,0,2.00%,42.93,17.93,2.00%,42.93,True
TC82,122,1,2.00%,42.93,17.93,2.00%,42.93,True
TC83,122,2,2.00%,42.93,17.93,2.00%,42.93,True
TC84,122,3,2.00%,42.93,17.93,2.00%,42.93,True
TC85,150,0,2.00%,47.05,22.05,2.00%,47.05,True
TC86,150,1,2.00%,47.05,22.05,2.00%,47.05,True
TC87,150,2,2.00%,47.05,22.05,2.00%,47.05,True
TC88,150,3,2.00%,47.05,22.05,2.00%,47.05,True
TC89,179,0,2.00%,51.31,26.31,2.00%,51.31,True
TC90,179,1,2.00%,51.31,26.31,2.00%,51.31,True
TC91,179,2,2.00%,51.31,26.31,2.00%,51.31,True
TC92,179,3,2.00%,51.31,26.31,2.00%,51.31,True
TC93,180,0,2.00%,51.46,26.46,2.00%,51.46,True
TC94,180,1,2.00%,51.46,26.46,2.00%,51.46,True
TC95,180,2,2.00%,51.46,26.46,2.00%,51.46,True
TC96,180,3,2.00%,51.46,26.46,2.00%,51.46,True
TC97,121,4,0.00%,43.15,18.15,0.00%,43.15,True
TC98,121,5,0.00%,43.15,18.15,0.00%,43.15,True
TC99,121,8,0.00%,43.15,18.15,0.00%,43.15,True
TC100,121,10,0.00%,43.15,18.15,0.00%,43.15,True
TC101,121,11,0.00%,43.15,18.15,0.00%,43.15,True
TC102,122,4,0.00%,43.30,18.3,0.00%,43.30,True
TC103,122,5,0.00%,43.30,18.3,0.00%,43.30,True
TC104,122,8,0.00%,43.30,18.3,0.00%,43.30,True
TC105,122,10,0.00%,43.30,18.3,0.00%,43.30,True
TC106,122,11,0.00%,43.30,18.3,0.00%,43.30,True
TC107,150,4,0.00%,47.50,22.5,0.00%,47.50,True
TC108,150,5,0.00%,47.50,22.5,0.00%,47.50,True
TC109,150,8,0.00%,47.50,22.5,0.00%,47.50,True
TC110,150,10,0.00%,47.50,22.5,0.00%,47.50,True
TC111,150,11,0.00%,47.50,22.5,0.00%,47.50,True
TC112,179,4,0.00%,51.85,26.85,0.00%,51.85,True
TC113,179,5,0.00%,51.85,26.85,0.00%,51.85,True
TC114,179,8,0.00%,51.85,26.85,0.00%,51.85,True
TC115,179,10,0.00%,51.85,26.85,0.00%,51.85,True
TC116,179,11,0.00%,51.85,26.85,0.00%,51.85,True
TC117,180,4,0.00%,52.00,27,0.00%,52.00,True
TC118,180,5,0.00%,52.00,27,0.00%,52.00,True
TC119,180,8,0.00%,52.00,27,0.00%,52.00,True
TC120,180,10,0.00%,52.00,27,0.00%,52.00,True
TC121,180,11,0.00%,52.00,27,0.00%,52.00,True
TC122,181,0,2.50%,51.47,26.47,2.50%,51.47,True
TC123,181,1,2.50%,51.47,26.47,2.50%,51.47,True
TC124,181,2,2.50%,51.47,26.47,2.50%,51.47,True
TC125,181,3,2.50%,51.47,26.47,2.50%,51.47,True
TC126,182,0,2.50%,51.62,26.62,2.50%,51.62,True
TC127,182,1,2.50%,51.62,26.62,2.50%,51.62,True
TC128,182,2,2.50%,51.62,26.62,2.50%,51.62,True
TC129,182,3,2.50%,51.62,26.62,2.50%,51.62,True
TC130,240,0,2.50%,60.10,35.1,2.50%,60.10,True
TC131,240,1,2.50%,60.10,35.1,2.50%,60.10,True
TC132,240,2,2.50%,60.10,35.1,2.50%,60.10,True
TC133,240,3,2.50%,60.10,35.1,2.50%,60.10,True
TC134,299,0,2.50%,68.73,43.73,2.50%,68.73,True
TC135,299,1,2.50%,68.73,43.73,2.50%,68.73,True
TC136,299,2,2.50%,68.73,43.73,2.50%,68.73,True
TC137,299,3,2.50%,68.73,43.73,2.50%,68.73,True
TC138,300,0,2.50%,68.88,43.88,2.50%,68.88,True
TC139,300,1,2.50%,68.88,43.88,2.50%,68.88,True
TC140,300,2,2.50%,68.88,43.88,2.50%,68.88,True
TC141,300,3,2.50%,68.88,43.88,2.50%,68.88,True
TC142,181,4,0.00%,52.15,27.15,0.00%,52.15,True
TC143,181,5,0.00%,52.15,27.15,0.00%,52.15,True
TC144,181,8,0.00%,52.15,27.15,0.00%,52.15,True
TC145,181,10,0.00%,52.15,27.15,0.00%,52.15,True
TC146,181,11,0.00%,52.15,27.15,0.00%,52.15,True
TC147,182,4,0.00%,52.30,27.3,0.00%,52.30,True
TC148,182,5,0.00%,52.30,27.3,0.00%,52.30,True
TC149,182,8,0.00%,52.30,27.3,0.00%,52.30,True
TC150,182,10,0.00%,52.30,27.3,0.00%,52.30,True
TC151,182,11,0.00%,52.30,27.3,0.00%,52.30,True
TC152,240,4,0.00%,61.00,36,0.00%,61.00,True
TC153,240,5,0.00%,61.00,36,0.00%,61.00,True
TC154,240,8,0.00%,61.00,36,0.00%,61.00,True
TC155,240,10,0.00%,61.00,36,0.00%,61.00,True
TC156,240,11,0.00%,61.00,36,0.00%,61.00,True
TC157,299,4,0.00%,69.85,44.85,0.00%,69.85,True
TC158,299,5,0.00%,69.85,44.85,0.00%,69.85,True
TC159,299,8,0.00%,69.85,44.85,0.00%,69.85,True
TC160,299,10,0.00%,69.85,44.85,0.00%,69.85,True
TC161,299,11,0.00%,69.85,44.85,0.00%,69.85,True
TC162,300,4,0.00%,70.00,45,0.00%,70.00,True
TC163,300,5,0.00%,70.00,45,0.00%,70.00,True
TC164,300,8,0.00%,70.00,45,0.00%,70.00,True
TC165,300,10,0.00%,70.00,45,0.00%,70.00,True
TC166,300,11,0.00%,70.00,45,0.00%,70.00,True
TC167,301,0,3.00%,68.80,43.8,3.00%,68.80,True
TC168,301,1,3.00%,68.80,43.8,3.00%,68.80,True
TC169,301,3,3.00%,68.80,43.8,3.00%,68.80,True
TC170,301,5,3.00%,68.80,43.8,3.00%,68.80,True
TC171,301,6,3.00%,68.80,43.8,3.00%,68.80,True
TC172,302,0,3.00%,68.94,43.94,3.00%,68.94,True
TC173,302,1,3.00%,68.94,43.94,3.00%,68.94,True
TC174,302,3,3.00%,68.94,43.94,3.00%,68.94,True
TC175,302,5,3.00%,68.94,43.94,3.00%,68.94,True
TC176,302,6,3.00%,68.94,43.94,3.00%,68.94,True
TC177,600,0,3.00%,112.30,87.3,3.00%,112.30,True
TC178,600,1,3.00%,112.30,87.3,3.00%,112.30,True
TC179,600,3,3.00%,112.30,87.3,3.00%,112.30,True
TC180,600,5,3.00%,112.30,87.3,3.00%,112.30,True
TC181,600,6,3.00%,112.30,87.3,3.00%,112.30,True
TC182,44640,0,3.00%,6520.12,6495.12,3.00%,6520.12,True
TC183,44640,1,3.00%,6520.12,6495.12,3.00%,6520.12,True
TC184,44640,3,3.00%,6520.12,6495.12,3.00%,6520.12,True
TC185,44640,5,3.00%,6520.12,6495.12,3.00%,6520.12,True
TC186,44640,6,3.00%,6520.12,6495.12,3.00%,6520.12,True
TC187,301,7,0.00%,70.15,45.15,0.00%,70.15,True
TC188,301,8,0.00%,70.15,45.15,0.00%,70.15,True
TC189,301,9,0.00%,70.15,45.15,0.00%,70.15,True
TC190,301,10,0.00%,70.15,45.15,0.00%,70.15,True
TC191,301,11,0.00%,70.15,45.15,0.00%,70.15,True
TC192,302,7,0.00%,70.30,45.3,0.00%,70.30,True
TC193,302,8,0.00%,70.30,45.3,0.00%,70.30,True
TC194,302,9,0.00%,70.30,45.3,0.00%,70.30,True
TC195,302,10,0.00%,70.30,45.3,0.00%,70.30,True
TC196,302,11,0.00%,70.30,45.3,0.00%,70.30,True
TC197,600,7,0.00%,115.00,90,0.00%,115.00,True
TC198,600,8,0.00%,115.00,90,0.00%,115.00,True
TC199,600,9,0.00%,115.00,90,0.00%,115.00,True
TC200,600,10,0.00%,115.00,90,0.00%,115.00,True
TC201,600,11,0.00%,115.00,90,0.00%,115.00,True
TC202,44640,7,0.00%,6721.00,6696,0.00%,6721.00,True
TC203,44640,8,0.00%,6721.00,6696,0.00%,6721.00,True
TC204,44640,9,0.00%,6721.00,6696,0.00%,6721.00,True
TC205,44640,10,0.00%,6721.00,6696,0.00%,6721.00,True
TC206,44640,11,0.00%,6721.00,6696,0.00%,6721.00,True
TC207,0,0,0.00%,25.00,0,0.00%,25.00,True
TC208,0,1,0.00%,25.00,0,0.00%,25.00,True
TC209,0,6,0.00%,25.00,0,0.00%,25.00,True
TC210,0,10,0.00%,25.00,0,0.00%,25.00,True
TC211,0,11,0.00%,25.00,0,0.00%,25.00,True
TC212,-1,0,-1.00%,Illegal input,,NULL, NULL, NULL
TC213,-1,1,-1.00%,Illegal input,,NULL, NULL, NULL
TC214,-1,6,-1.00%,Illegal input,,NULL, NULL, NULL
TC215,-1,10,-1.00%,Illegal input,,NULL, NULL, NULL
TC216,-1,11,-1.00%,Illegal input,,NULL, NULL, NULL
TC217,1,-1,-1.00%,Illegal input,,NULL, NULL, NULL
TC218,2,-1,-1.00%,Illegal input,,NULL, NULL, NULL
TC219,200,-1,-1.00%,Illegal input,,NULL, NULL, NULL
TC220,300,-1,-1.00%,Illegal input,,NULL, NULL, NULL
TC221,44640,-1,-1.00%,Illegal input,,NULL, NULL, NULL
TC222,44641,0,-1.00%,Illegal input,,NULL, NULL, NULL
TC223,44641,1,-1.00%,Illegal input,,NULL, NULL, NULL
TC224,44641,6,-1.00%,Illegal input,,NULL, NULL, NULL
TC225,44641,10,-1.00%,Illegal input,,NULL, NULL, NULL
TC226,44641,11,-1.00%,Illegal input,,NULL, NULL, NULL
TC227,1,12,-1.00%,Illegal input,,NULL, NULL, NULL
TC228,2,12,-1.00%,Illegal input,,NULL, NULL, NULL
TC229,200,12,-1.00%,Illegal input,,NULL, NULL, NULL
TC230,300,12,-1.00%,Illegal input,,NULL, NULL, NULL
TC231,44640,12,-1.00%,Illegal input,,NULL, NULL, NULL
TC232,1,-1,-1.00%,Illegal input,,NULL, NULL, NULL
TC233,2,-1,-1.00%,Illegal input,,NULL, NULL, NULL
TC234,200,-1,-1.00%,Illegal input,,NULL, NULL, NULL
TC235,300,-1,-1.00%,Illegal input,,NULL, NULL, NULL
TC236,44640,-1,-1.00%,Illegal input,,NULL, NULL, NULL
